iter	Passed	Remaining
743	26906	9258
744	26944	9222
745	26978	9185
746	27011	9148
747	27045	9111
748	27084	9076
749	27118	9039
750	27153	9002
751	27185	8965
752	27221	8929
753	27255	8892
754	27290	8855
755	27322	8818
756	27358	8782
757	27391	8744
758	27425	8708
759	27466	8673
760	27503	8637
761	27537	8600
762	27569	8563
763	27606	8527
764	27649	8493
765	27683	8456
766	27748	8429
767	27779	8391
768	27821	8357
769	27854	8320
770	27891	8284
771	27927	8247
772	27962	8211
773	27995	8174
774	28027	8137
775	28066	8101
776	28107	8066
777	28144	8030
778	28183	7995
779	28224	7960
780	28265	7925
781	28303	7890
782	28343	7855
783	28380	7819
784	28416	7782
785	28449	7745
786	28482	7708
787	28521	7673
788	28559	7637
789	28595	7601
790	28631	7565
791	28666	7528
792	28709	7494
793	28745	7458
794	28782	7421
795	28817	7385
796	28860	7350
797	28897	7314
798	28935	7279
799	28979	7244
800	29018	7209
801	29055	7173
802	29088	7136
803	29121	7099
804	29156	7062
805	29190	7026
806	29228	6990
807	29262	6953
808	29297	6917
809	29330	6879
810	29362	6842
811	29395	6805
812	29431	6769
813	29470	6734
814	29504	6697
815	29536	6660
816	29572	6624
817	29605	6587
818	29644	6551
819	29678	6514
820	29719	6479
821	29755	6443
822	29789	6406
823	29826	6370
824	29863	6334
825	29896	6297
826	29929	6261
827	29967	6225
828	30007	6189
829	30041	6153
830	30074	6116
831	30107	6079
832	30143	6043
833	30178	6006
834	30216	5970
835	30248	5934
836	30284	5897
837	30318	5861
838	30351	5824
839	30390	5788
840	30426	5752
841	30460	5715
842	30495	5679
843	30539	5644
844	30583	5610
845	30619	5573
846	30656	5537
847	30695	5502
848	30734	5466
849	30772	5430
850	30807	5394
851	30842	5357
852	30879	5321
853	30912	5284
854	30950	5248
855	30984	5212
856	31018	5175
857	31054	5139
858	31092	5103
859	31125	5066
860	31163	5031
861	31198	4994
862	31232	4958
863	31271	4922
864	31308	4886
865	31344	4850
866	31383	4814
867	31426	4779
868	31470	4744
869	31513	4708
870	31547	4672
871	31585	4636
872	31623	4600
873	31657	4563
874	31689	4527
875	31724	4490
876	31758	4454
877	31797	4418
878	31830	4381
879	31865	4345
880	31904	4309
881	31936	4272
882	31976	4236
883	32011	4200
884	32049	4164
885	32084	4128
886	32125	4092
887	32157	4055
888	32196	4019
889	32231	3983
890	32264	3947
891	32305	3911
892	32343	3875
893	32377	3838
894	32411	3802
895	32442	3765
896	32483	3730
897	32517	3693
898	32548	3656
899	32585	3620
900	32621	3584
901	32661	3548
902	32695	3512
903	32729	3475
904	32766	3439
905	32841	3407
906	32874	3370
907	32911	3334
908	32948	3298
909	32986	3262
910	33022	3226
911	33055	3189
912	33092	3153
913	33128	3117
914	33167	3081
915	33203	3044
916	33238	3008
917	33272	2972
918	33305	2935
919	33338	2898
920	33382	2863
921	33430	2828
922	33465	2791
923	33499	2755
924	33540	2719
925	33575	2683
926	33608	2646
927	33641	2610
928	33679	2574
929	33715	2537
930	33751	2501
931	33787	2465
932	33822	2428
933	33856	2392
934	33892	2356
935	33931	2320
936	33970	2284
937	34007	2247
938	34042	2211
939	34076	2175
940	34115	2139
941	34151	2102
942	34184	2066
943	34221	2030
944	34260	1993
945	34301	1958
946	34338	1921
947	34374	1885
948	34413	1849
949	34450	1813
950	34490	1777
951	34527	1740
952	34563	1704
953	34602	1668
954	34639	1632
955	34676	1595
956	34715	1559
957	34757	1523
958	34795	1487
959	34830	1451
960	34870	1415
961	34907	1378
962	34940	1342
963	34974	1306
964	35009	1269
965	35041	1233
966	35080	1197
967	35116	1160
968	35154	1124
969	35198	1088
970	35232	1052
971	35263	1015
972	35299	979
973	35334	943
974	35365	906
975	35396	870
976	35433	834
977	35470	797
978	35507	761
979	35547	725
980	35586	689
981	35621	652
982	35655	616
983	35689	580
984	35729	544
985	35761	507
986	35796	471
987	35833	435
988	35871	398
989	35907	362
990	35940	326
991	35975	290
992	36018	253
993	36052	217
994	36087	181
995	36122	145
996	36162	108
997	36199	72
998	36235	36
999	36272	0
